runName,start_time,m_test_roc_auc,m_test_fp,m_test_f1,m_test_tn,m_test_precision,m_test_brier,m_test_accuracy,m_test_pr_auc,m_test_fn,m_test_tp,m_test_threshold,m_test_balanced_accuracy,m_test_recall,m_val_f1,m_val_roc_auc,m_val_tp,m_val_pr_auc,m_val_precision,m_val_recall,m_val_balanced_accuracy,m_val_tn,m_val_fn,m_val_brier,m_val_threshold,m_val_accuracy,m_val_fp,m_cv_f1_mean,m_cv_f1_std,m_rank,p_threshold,p_calibration,p_model,p_selected_on,p_clf__n_jobs,p_clf__booster,p_clf__validate_parameters,p_clf__max_leaves,p_clf__max_delta_step,p_clf__grow_policy,p_clf__reg_alpha,p_clf__importance_type,p_clf__colsample_bytree,p_clf__gamma,p_clf__eval_metric,p_clf__multi_strategy,p_split,p_clf__missing,p_n_train_rows,p_clf__monotone_constraints,p_clf__learning_rate,p_clf__random_state,p_clf__callbacks,p_clf__min_child_weight,p_clf__subsample,p_clf__reg_lambda,p_clf__verbosity,p_clf__enable_categorical,p_clf__sampling_method,p_clf__device,p_clf__colsample_bynode,p_n_features,p_clf__objective,p_clf__interaction_constraints,p_clf__max_bin,p_clf__num_parallel_tree,p_clf__feature_types,p_clf__feature_weights,p_clf__tree_method,p_clf__n_estimators,p_clf__colsample_bylevel,p_clf__base_score,p_clf__scale_pos_weight,p_random_state,p_clf__early_stopping_rounds,p_clf__max_cat_to_onehot,p_clf__max_depth,p_clf__max_cat_threshold,p_clf__ccp_alpha,p_clf__class_weight,p_clf__min_weight_fraction_leaf,p_clf__max_leaf_nodes,p_clf__min_samples_leaf,p_clf__verbose,p_clf__warm_start,p_clf__min_impurity_decrease,p_clf__monotonic_cst,p_clf__criterion,p_clf__max_samples,p_clf__max_features,p_clf__min_samples_split,p_clf__bootstrap,p_clf__oob_score,p_clf__tol,p_clf__dual,p_clf__intercept_scaling,p_clf__max_iter,p_clf__penalty,p_clf__l1_ratio,p_clf__solver,p_clf__fit_intercept,p_clf__C,p_clf__constant,p_clf__strategy,p_search,p_cv
tune_trial_009,2026-09-01 04:27:00.607000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45372932896328216,0.00949380976474126,9.0,,,,,,,,,,,,,0.7300733288106989,3.64803089169032,,,,,,,0.0874479618932312,,,3,0.8886918084659492,4.9868654247546385,,,,,,,,,,,,,,661,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_010,2026-09-01 04:27:00.747000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45366216890099276,0.0089283240566026,10.0,,,,,,,,,,,,,0.8211572356285312,2.9634836193969676,,,,,,,0.01316528202190345,,,17,0.8529223322374317,0.5439591236568526,,,,,,,,,,,,,,493,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_011,2026-09-01 04:27:00.876000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45359030926082977,0.009595532650155645,11.0,,,,,,,,,,,,,0.8395461865954144,3.4739246651985227,,,,,,,0.1997826452218776,,,13,0.9485842360750871,1.8484491720988625,,,,,,,,,,,,,,773,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_012,2026-09-01 04:27:01.047000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4535878345098395,0.009887438875296323,12.0,,,,,,,,,,,,,0.6727299868828402,0.9170225492671691,,,,,,,0.028145092716060652,,,12,0.7599443886861021,1.120854708422937,,,,,,,,,,,,,,760,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_013,2026-09-01 04:27:01.176000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4535419998330225,0.008485118595435158,13.0,,,,,,,,,,,,,0.6186662652854461,4.8687775942072955,,,,,,,0.02207148196910116,,,15,0.9932923543227152,0.5820013372709851,,,,,,,,,,,,,,762,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_014,2026-09-01 04:27:01.319000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4532782452778164,0.008091100679470848,14.0,,,,,,,,,,,,,0.9441618473246701,1.2512568025793203,,,,,,,0.011412048577583095,,,11,0.9311476015150355,0.45009323307837446,,,,,,,,,,,,,,643,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_015,2026-09-01 04:27:01.452000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4531168832382899,0.008417258141746228,15.0,,,,,,,,,,,,,0.7579526072702278,1.4674408735901907,,,,,,,0.010490534235091775,,,17,0.9085081386743783,2.8708753481954687,,,,,,,,,,,,,,591,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_016,2026-09-01 04:27:01.580000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4529613491350191,0.009458645146092761,16.0,,,,,,,,,,,,,0.6405886171464128,3.317508845540279,,,,,,,0.01017364485544501,,,18,0.689707723784224,2.013365020244047,,,,,,,,,,,,,,362,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_017,2026-09-01 04:27:01.702000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4529017651319567,0.009465954998887605,17.0,,,,,,,,,,,,,0.7123089449763423,0.1215798321572692,,,,,,,0.08983402272488596,,,12,0.7118241367187035,0.8707410675803571,,,,,,,,,,,,,,419,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_018,2026-09-01 04:27:01.852000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45280643389026387,0.009717020955465647,18.0,,,,,,,,,,,,,0.7901480892728447,2.8163778598819182,,,,,,,0.10650293943002245,,,7,0.9771414282231924,0.2547548433438811,,,,,,,,,,,,,,370,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_019,2026-09-01 04:27:01.979000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4527580853131684,0.008976820226288122,19.0,,,,,,,,,,,,,0.6987504251354405,3.481521364198942,,,,,,,0.11274830651868056,,,17,0.9906459823330611,0.3416347415306915,,,,,,,,,,,,,,280,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_020,2026-09-01 04:27:02.145000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4527264166952232,0.009257699254612164,20.0,,,,,,,,,,,,,0.9119502183430496,3.2101582307714387,,,,,,,0.013313275850595153,,,6,0.6036788206466518,1.632518529467692,,,,,,,,,,,,,,303,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_021,2026-09-01 04:27:02.303000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4522505017230757,0.009597044981913754,21.0,,,,,,,,,,,,,0.9624395150874216,2.1719718275521434,,,,,,,0.03289336141203497,,,15,0.888980846104602,0.24574572727813157,,,,,,,,,,,,,,680,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_022,2026-09-01 04:27:02.468000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4520611087657847,0.008545539615439898,22.0,,,,,,,,,,,,,0.941203782186944,1.4722444603479286,,,,,,,0.03705408044695723,,,3,0.7578765867237889,0.5563828492285656,,,,,,,,,,,,,,327,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_023,2026-09-01 04:27:02.717000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4519930768795737,0.008601408722281238,23.0,,,,,,,,,,,,,0.6943939678995823,1.2803416138066197,,,,,,,0.011474276591948267,,,10,0.9583054382694077,0.25318525210031817,,,,,,,,,,,,,,660,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_024,2026-09-01 04:27:02.858000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45198844925776294,0.009356702072364206,24.0,,,,,,,,,,,,,0.786705157299192,4.299702033681603,,,,,,,0.10113389297817889,,,7,0.9862528132298237,7.902619549708233,,,,,,,,,,,,,,473,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_025,2026-09-01 04:27:02.998000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4519836200370417,0.008381355552862395,25.0,,,,,,,,,,,,,0.9533976089065036,3.7385938694870697,,,,,,,0.25574236822597224,,,17,0.9854479908357011,8.57649103704616,,,,,,,,,,,,,,501,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_026,2026-09-01 04:27:03.135000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45162162242207526,0.008457440534974998,26.0,,,,,,,,,,,,,0.7644148053272926,0.16525366450274193,,,,,,,0.03233791944457942,,,19,0.7791132658292367,1.153105826644136,,,,,,,,,,,,,,329,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_027,2026-09-01 04:27:03.277000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45104843536376116,0.008545885398001085,27.0,,,,,,,,,,,,,0.9376852562905246,4.650084174054159,,,,,,,0.012706126171485374,,,15,0.7290203056954402,0.38956611726385926,,,,,,,,,,,,,,354,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_028,2026-09-01 04:27:03.399000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45050627891162,0.007577984411534831,28.0,,,,,,,,,,,,,0.749816047538945,4.75357153204958,,,,,,,0.1205712628744377,,,7,0.6232334448672797,0.2051110418843398,,,,,,,,,,,,,,321,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_029,2026-09-01 04:27:03.559000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4501183808671138,0.009033360914948304,29.0,,,,,,,,,,,,,0.8233173814428391,4.413181715946698,,,,,,,0.018999548501132082,,,3,0.954834569706047,6.2261634823634635,,,,,,,,,,,,,,407,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_030,2026-09-01 04:27:03.688000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4470694547217928,0.007947944862176124,30.0,,,,,,,,,,,,,0.8534118843043579,2.6788734203737925,,,,,,,0.013594678406051506,,,9,0.8783251227163527,1.038478604912439,,,,,,,,,,,,,,323,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_031,2026-09-01 04:27:03.820000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4464432417566963,0.007974771403842614,31.0,,,,,,,,,,,,,0.954646859580264,0.13808385936852352,,,,,,,0.07162318682859693,,,19,0.9355734008277453,9.19775371875246,,,,,,,,,,,,,,774,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_032,2026-09-01 04:27:03.953000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4461782563502896,0.007623074512931706,32.0,,,,,,,,,,,,,0.6296178606936361,1.7923286427213632,,,,,,,0.014830392684568025,,,8,0.7243929286862649,0.13400367243354802,,,,,,,,,,,,,,232,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_033,2026-09-01 04:27:04.099000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44554962760216815,0.008257450816271291,33.0,,,,,,,,,,,,,0.8783137597380328,1.1427501089864984,,,,,,,0.018131329125927832,,,17,0.9861677405155175,9.828956194475676,,,,,,,,,,,,,,201,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_034,2026-09-01 04:27:04.242000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4451273104694505,0.007374780168353111,34.0,,,,,,,,,,,,,0.9652962210225885,2.556711994304689,,,,,,,0.055055457827144,,,1,0.6203074124157587,0.6216810857369396,,,,,,,,,,,,,,711,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_035,2026-09-01 04:27:04.372000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4436111957617499,0.008086005766716925,35.0,,,,,,,,,,,,,0.9214688307596458,0.9328502944301792,,,,,,,0.20816986844858934,,,7,0.6911740650167767,0.1659983797444922,,,,,,,,,,,,,,389,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_036,2026-09-01 04:27:04.509000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4414805846924568,0.006785065610678366,36.0,,,,,,,,,,,,,0.9394679179698697,0.6831066572101441,,,,,,,0.11146730503517564,,,10,0.9468289274320415,4.170871302599373,,,,,,,,,,,,,,737,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_037,2026-09-01 04:27:04.648000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44050597482210224,0.00822264022723229,37.0,,,,,,,,,,,,,0.9464704583099741,3.005575058716044,,,,,,,0.11114989443094977,,,2,0.6849356442713105,4.622589001020832,,,,,,,,,,,,,,543,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_038,2026-09-01 04:27:04.905000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4393553852533343,0.005081259621173027,38.0,,,,,,,,,,,,,0.8281775897621597,2.6041713001291185,,,,,,,0.26288610184395456,,,16,0.8347004662655393,1.200561092619211,,,,,,,,,,,,,,537,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_039,2026-09-01 04:27:05.114000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4378855884440115,0.006762943387287587,39.0,,,,,,,,,,,,,0.7708431154505025,4.090073829612465,,,,,,,0.18681142751959703,,,8,0.6888431241882921,0.6836314065022723,,,,,,,,,,,,,,610,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_040,2026-09-01 04:27:05.262000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4303520471167821,0.004725912184198035,40.0,,,,,,,,,,,,,0.6479461469334731,1.6880758570181398,,,,,,,0.24705404270823272,,,9,0.7015661655737379,0.1348293665742147,,,,,,,,,,,,,,312,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
majority_baseline,2026-09-01 04:28:34.924000+00:00,,,,,,,,,,,,,,0.0,0.5,0.0,0.2021656354117087,0.0,0.0,0.5,13410.0,3398.0,0.2021656354117087,0.5,0.7978343645882913,0.0,,,,,,majority_baseline,,,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,None,,,,,,,,,,23,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,most_frequent,,
logistic_regression,2026-09-01 04:28:42.651000+00:00,,,,,,,,,,,,,,0.4491574188244965,0.7256703728429101,2732.0,0.34367216593849137,0.3116231322002966,0.8040023543260741,0.6769825343591593,7375.0,666.0,0.21605429406374732,0.5222952843406751,0.6013207996192289,6035.0,,,,,,logistic_regression,,None,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,42,,,,,,,,,,23,,,,,,,,,,,,42,,,,,,balanced,,,,0,False,,,,,,,,,0.0001,False,1,2000,deprecated,0.0,lbfgs,True,1.0,,,,
random_forest,2026-09-01 04:28:55.999000+00:00,,,,,,,,,,,,,,0.4487102579484103,0.7334737633533608,2618.0,0.36318201737850586,0.316527626647322,0.7704532077692761,0.6744510632433256,7757.0,780.0,0.21141997701929266,0.5385442041403622,0.617265587815326,5653.0,,,,,,random_forest,,-1,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,42,,,,,,,,,,23,,,,,,,,300,,,,42,,,12,,0.0,balanced,0.0,None,20,0,False,0.0,None,gini,None,sqrt,2,True,False,,,,,,,,,,,,,
xgboost,2026-09-01 04:29:05.988000+00:00,,,,,,,,,,,,,,0.4537935422299984,0.7385023826359235,2853.0,0.37430481785105973,0.31091979075850046,0.8396115361977634,0.6840488702614469,7087.0,545.0,0.20849469304084778,0.4893647852704753,0.59138505473584,6323.0,,,,,,xgboost,,-1,None,None,None,None,None,None,None,0.9861021229056552,3.0351712384334233,logloss,None,GroupShuffleSplit on patient_id 70/15/15,nan,76957,None,0.025567264128934574,42,None,15,0.7693605922825478,0.1074664278936508,None,True,None,None,None,23,binary:logistic,None,None,None,None,None,None,264,None,None,3.9496398250578855,42,None,None,7,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost_calibrated_TEST,2026-09-01 04:29:12.187000+00:00,0.7435472380382778,6227.0,0.449025790282157,7159.0,0.30841848067525546,0.1419716236189125,0.5931586173959763,0.37247695096030553,588.0,2777.0,0.201117492828462,0.6800362601897838,0.825260029717682,,,,,,,,,,,,,,,,,0.201117492828462,"isotonic (prefit, on validation)",xgboost,validation F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
