runName,start_time,m_test_roc_auc,m_test_fp,m_test_f1,m_test_tn,m_test_precision,m_test_brier,m_test_accuracy,m_test_pr_auc,m_test_fn,m_test_tp,m_test_threshold,m_test_balanced_accuracy,m_test_recall,m_val_f1,m_val_roc_auc,m_val_tp,m_val_pr_auc,m_val_precision,m_val_recall,m_val_balanced_accuracy,m_val_tn,m_val_fn,m_val_brier,m_val_threshold,m_val_accuracy,m_val_fp,m_cv_f1_mean,m_cv_f1_std,m_rank,p_threshold,p_calibration,p_model,p_selected_on,p_clf__n_jobs,p_clf__booster,p_clf__validate_parameters,p_clf__max_leaves,p_clf__max_delta_step,p_clf__grow_policy,p_clf__reg_alpha,p_clf__importance_type,p_clf__colsample_bytree,p_clf__gamma,p_clf__eval_metric,p_clf__multi_strategy,p_split,p_clf__missing,p_n_train_rows,p_clf__monotone_constraints,p_clf__learning_rate,p_clf__random_state,p_clf__callbacks,p_clf__min_child_weight,p_clf__subsample,p_clf__reg_lambda,p_clf__verbosity,p_clf__enable_categorical,p_clf__sampling_method,p_clf__device,p_clf__colsample_bynode,p_n_features,p_clf__objective,p_clf__interaction_constraints,p_clf__max_bin,p_clf__num_parallel_tree,p_clf__feature_types,p_clf__feature_weights,p_clf__tree_method,p_clf__n_estimators,p_clf__colsample_bylevel,p_clf__base_score,p_clf__scale_pos_weight,p_random_state,p_clf__early_stopping_rounds,p_clf__max_cat_to_onehot,p_clf__max_depth,p_clf__max_cat_threshold,p_clf__ccp_alpha,p_clf__class_weight,p_clf__min_weight_fraction_leaf,p_clf__max_leaf_nodes,p_clf__min_samples_leaf,p_clf__verbose,p_clf__warm_start,p_clf__min_impurity_decrease,p_clf__monotonic_cst,p_clf__criterion,p_clf__max_samples,p_clf__max_features,p_clf__min_samples_split,p_clf__bootstrap,p_clf__oob_score,p_clf__tol,p_clf__dual,p_clf__intercept_scaling,p_clf__max_iter,p_clf__penalty,p_clf__l1_ratio,p_clf__solver,p_clf__fit_intercept,p_clf__C,p_clf__constant,p_clf__strategy,p_search,p_cv
random_forest,2026-09-01 04:06:01.024000+00:00,,,,,,,,,,,,,,0.4487102579484103,0.7334737633533608,2618.0,0.36318201737850586,0.316527626647322,0.7704532077692761,0.6744510632433256,7757.0,780.0,0.21141997701929266,0.5385442041403621,0.617265587815326,5653.0,,,,,,random_forest,,-1,,,,,,,,,,,,GroupShuffleSplit on patient_id 70/15/15,,76957,,,42,,,,,,,,,,23,,,,,,,,300,,,,42,,,12,,0.0,balanced,0.0,None,20,0,False,0.0,None,gini,None,sqrt,2,True,False,,,,,,,,,,,,,
xgboost,2026-09-01 04:06:09.419000+00:00,,,,,,,,,,,,,,0.4521874459623033,0.7370738654443834,2615.0,0.37406241462779766,0.32015181194906955,0.7695703354914656,0.677738187879961,7857.0,783.0,0.20784704387187958,0.5171738959399601,0.6230366492146597,5553.0,,,,,,xgboost,,-1,None,None,None,None,None,None,None,0.9,None,logloss,None,GroupShuffleSplit on patient_id 70/15/15,nan,76957,None,0.05,42,None,None,0.9,None,None,True,None,None,None,23,binary:logistic,None,None,None,None,None,None,400,None,None,3.9496398250578855,42,None,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost_calibrated_TEST,2026-09-01 04:06:14.414000+00:00,0.7429950876800382,5552.0,0.45284983083195973,7834.0,0.31977456505758395,0.14165382265772897,0.6234851650647723,0.3739166487441099,755.0,2610.0,0.21647337041608053,0.6804349047118265,0.7756315007429421,,,,,,,,,,,,,,,,,0.21647337041608053,"isotonic (prefit, on validation)",xgboost,validation F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tune_trial_001,2026-09-01 04:26:59.390000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4548079397321456,0.009302211804035595,1.0,,,,,,,,,,,,,0.9861021229056552,3.0351712384334233,,,,,,,0.025567264128934574,,,15,0.7693605922825478,0.1074664278936508,,,,,,,,,,,,,,264,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_002,2026-09-01 04:26:59.585000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45456678641803755,0.00900253111304132,2.0,,,,,,,,,,,,,0.8848716885390143,1.1862454374840004,,,,,,,0.030245085073501415,,,8,0.7232243167409557,2.7661762518652755,,,,,,,,,,,,,,334,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_003,2026-09-01 04:26:59.739000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45442937835976754,0.00958676923299141,3.0,,,,,,,,,,,,,0.6697465716019966,3.45468869051233,,,,,,,0.03726104236509947,,,8,0.8165791895310264,0.26190466946509466,,,,,,,,,,,,,,672,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_004,2026-09-01 04:26:59.884000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4542142719519829,0.010344153121022546,4.0,,,,,,,,,,,,,0.6125253169822235,4.211423872974993,,,,,,,0.04616803492122799,,,4,0.7306163075223342,2.8480262754225194,,,,,,,,,,,,,,469,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_005,2026-09-01 04:27:00.032000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45414502643638266,0.008662154440488694,5.0,,,,,,,,,,,,,0.9233589392465844,1.5230688458668533,,,,,,,0.013940346079873234,,,15,0.9332779646944658,1.6595613641357259,,,,,,,,,,,,,,654,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_006,2026-09-01 04:27:00.199000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4540223476196197,0.009446947853834783,6.0,,,,,,,,,,,,,0.6693458614031088,1.955303037866204,,,,,,,0.018585951462501547,,,2,0.8270801311279966,0.26054534945804003,,,,,,,,,,,,,,589,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_007,2026-09-01 04:27:00.334000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45397270401185175,0.009026795882386298,7.0,,,,,,,,,,,,,0.8170160922219597,2.5440703841938,,,,,,,0.08708441432489855,,,14,0.794696861183782,9.073727166787789,,,,,,,,,,,,,,237,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
tune_trial_008,2026-09-01 04:27:00.468000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4538130151160288,0.009044676810515807,8.0,,,,,,,,,,,,,0.943343521925488,1.6297945260094238,,,,,,,0.021150601975979937,,,3,0.8580691161637799,0.28378638146176255,,,,,,,,,,,,,,710,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,RandomizedSearchCV,GroupKFold(4) on patient_id
